HYBRIDIZATION R	TCGA-AA-3841-01	TCGA-AA-3866-01	TCGA-AA-3870-01	TCGA-AA-3939-01	TCGA-AA-3941-01	TCGA-AA-3968-01	TCGA-AA-3970-01	TCGA-AA-3977-01	TCGA-AA-3979-01	TCGA-AA-3980-01
ADAMTS18|170692	1	2	5	1	8	13	9	2	6	22
ADAMTS19|171019	0	0	2	2	0	3	12	11	0	1
ADAMTS1|9510	128	298	282	283	154	357	240	170	71	317
ADAMTS20|80070	0	1	39	5	1	1	0	9	2	2
ADAMTS2|9509	433	993	1054	159	39	447	90	138	89	151
ADAMTS3|9508	4	16	19	5	2	26	9	13	7	18
ADAMTS4|9507	255	616	511	208	87	383	203	112	137	418
ADAMTS5|11096	22	160	59	88	23	262	84	46	52	134
ADAMTS6|11174	13	30	76	21	85	63	21	19	10	24
ADAMTS7|11173	195	198	254	89	55	282	84	47	49	123
ADAMTS8|11095	41	79	71	9	7	61	29	3	10	40
ADAMTS9|56999	110	234	178	121	73	289	206	54	58	221
ADAMTSL1|92949	32	191	76	7	10	46	65	40	6	44
ADAMTSL2|9719	187	109	160	148	118	145	212	64	61	92
ADAMTSL3|57188	33	91	94	26	69	106	80	32	36	71
ADAMTSL4|54507	146	489	357	87	109	98	77	76	40	100
ADAMTSL5|339366	63	81	339	34	312	145	146	21	90	80
ADAP1|11033	3943	3483	6163	2567	6683	2455	3220	1655	4866	1983
ADAP2|55803	50	199	200	84	41	179	97	87	57	142
ADARB1|104	123	129	271	105	71	160	190	92	269	180
ADARB2|105	2	4	12	0	1	4	4	1	1	1
ADAR|103	2018	8473	5198	2991	3515	6009	4420	2172	7131	6553
ADAT1|23536	139	580	178	107	311	220	205	102	209	294
ADAT2|134637	50	282	140	275	195	487	499	216	548	789
ADAT3|113179	266	178	207	154	86	212	152	124	230	286
ADA|100	156	304	222	220	44	192	106	168	61	193
ADCK1|57143	168	293	236	156	204	238	153	87	179	275
ADCK2|90956	890	1540	1401	791	1178	1408	641	424	867	1428
ADCK4|79934	580	518	407	484	207	583	464	179	394	211
ADCK5|203054	625	378	623	366	673	324	561	181	965	520
ADCY10|55811	0	1	18	1	3	1	1	5	1	1
ADCY1|107	41	21	38	19	19	58	36	85	24	87
ADCY2|108	10	36	34	22	2	27	3	2	7	25
ADCY3|109	1652	994	1880	318	1129	1509	836	378	1196	1519
ADCY4|196883	102	114	95	46	88	121	112	23	34	90
ADCY5|111	27	160	58	1	13	24	39	4	14	48
ADCY6|112	1178	1495	992	1265	1224	1566	1296	492	1188	1180
ADCY7|113	617	669	1280	263	252	659	220	169	303	775
ADCY8|114	0	0	24	6	0	1	6	5	0	0
ADCY9|115	481	517	1568	184	425	564	306	79	348	398
